stock_code	description	units_sold	orders	revenue
23389	SPACEBOY MINI BACKPACK	656	81	2582.40
21116	OWL DOORSTOP	548	102	2582.24
23126	FELTCRAFT GIRL AMELIE KIT	528	111	2580.88
22892	SET OF SALT AND PEPPER TOADSTOOLS	2141	143	2580.49
22596	CHRISTMAS STAR WISH LIST CHALKBOARD	2820	129	2570.28
22347	PIZZA SLICE DISH	2346	42	2567.70
21313	GLASS HEART T-LIGHT HOLDER	3618	110	2565.30
22474	SPACEBOY TV DINNER TRAY	607	79	2565.09
22827	RUSTIC  SEVENTEEN DRAWER SIDEBOARD	17	11	2565.00
15044D	RED PAPER PARASOL	947	96	2559.69
22057	CERAMIC PLATE STRAWBERRY DESIGN	2178	85	2558.10
22645	CERAMIC HEART FAIRY CAKE MONEY BANK	1915	209	2557.47
23241	TREASURE TIN GYMKHANA DESIGN	1282	136	2556.16
23340	VINTAGE CHRISTMAS CAKE FRILL	1649	43	2552.85
21844	RETRO SPOT MUG	936	63	2550.00
21238	RED RETROSPOT CUP	3225	210	2547.55
22168	ORGANISER WOOD ANTIQUE WHITE	314	105	2546.00
22739	RIBBON REEL CHRISTMAS SOCK BAUBLE	1520	154	2544.24
21238	RED SPOTTY CUP	3135	222	2536.83
22353	LUNCH BOX WITH CUTLERY FAIRY CAKES	1049	124	2529.15
21243	PINK  POLKADOT PLATE	1626	95	2529.06
22353	LUNCHBOX WITH CUTLERY FAIRY CAKES	1099	90	2521.65
22367	CHILDS APRON SPACEBOY DESIGN	1388	128	2514.30
21477	STRING OF 20 ROSE LIGHTS	224	22	2514.00
22402	MAGNETS PACK OF 4 VINTAGE COLLAGE	2720	124	2500.73
23194	GYMKHANA TREASURE BOOK BOX	1207	67	2494.88
22898	CHILDRENS APRON APPLES DESIGN	1365	133	2490.65
23311	VINTAGE CHRISTMAS STOCKING	993	102	2488.95
20675	BLUE POLKADOT BOWL	2170	146	2481.15
22509	SEWING BOX RETROSPOT DESIGN	205	75	2471.75
20979	36 PENCILS TUBE RED SPOTTY	2077	104	2471.61
23552	BICYCLE PUNCTURE REPAIR KIT	1294	49	2471.60
21577	SAVE THE PLANET COTTON TOTE BAG	1240	124	2466.00
23283	DOORMAT VINTAGE LEAF	375	54	2461.57
21544	SKULLS  WATER TRANSFER TATTOOS	3229	156	2456.65
22352	LUNCHBOX WITH CUTLERY RETROSPOT	1060	120	2451.90
21244	BLUE  SPOTTY PLATE	1586	96	2449.94
22843	BISCUIT TIN VINTAGE GREEN	400	77	2443.18
22187	GREEN CHRISTMAS TREE CARD HOLDER	836	96	2439.22
22175	PINK OWL SOFT TOY	905	128	2432.33
21949	SET OF 6 STRAWBERRY CHOPSTICKS	2142	85	2431.54
22244	HOOK, 3 HANGER ,MAGIC GARDEN	1351	66	2425.65
21452	TOADSTOOL MONEY BOX	854	137	2420.90
22583	PACK OF 6 HANDBAG GIFT BOXES	965	86	2418.15
22530	MAGIC DRAWING SLATE DOLLY GIRL	6169	140	2408.82
23198	PANTRY MAGNETIC  SHOPPING LIST	1720	156	2408.24
21936	RED/WHITE SPOT PICNIC BAG	898	41	2405.10
22110	BIRD HOUSE HOT WATER BOTTLE	1138	137	2403.71
70006	LOVE HEART POCKET WARMER	3250	80	2403.16
22577	WOODEN HEART CHRISTMAS SCANDINAVIAN	4645	243	2402.73
22604	SET OF 4 NAPKIN CHARMS CUTLERY	1063	67	2396.26
21900	KEY FOB , SHED	3764	277	2394.44
23404	HOME SWEET HOME BLACKBOARD	622	51	2390.93
22458	CAST IRON HOOK GARDEN FORK	1013	55	2390.91
21679	SKULLS  STICKERS	3083	125	2389.67
21592	RETRO SPOT  CIGAR BOX MATCHES	2093	76	2388.25
23049	RECYCLED ACAPULCO MAT RED	291	104	2384.75
21609	SET 12 LAVENDER  BOTANICAL T-LIGHTS	883	83	2384.05
21718	RED METAL BEACH SPADE	2067	140	2382.57
22440	BALLOON WATER BOMB PACK OF 35	6283	112	2379.06
20963	APPLE BATH SPONGE	1956	140	2376.79
22276	WASH BAG VINTAGE ROSE PAISLEY	997	125	2375.85
21096	SET/6 FRUIT SALAD  PAPER PLATES	15380	48	2371.90
23306	SET OF 36 DOILIES PANTRY DESIGN	1694	95	2371.37
22220	CAKE STAND LOVEBIRD 2 TIER WHITE	259	91	2365.25
21986	PACK OF 12 PINK SPOT TISSUES	5734	58	2363.30
22460	EMBOSSED GLASS TEALIGHT HOLDER	1946	117	2362.29
20961	STRAWBERRY BATH SPONGE	1947	144	2361.91
22356	CHARLOTTE BAG , PINK/WHITE SPOTS	3039	149	2359.55
22073	RED RETROSPOT STORAGE JAR	655	104	2354.73
21153	RED SPOTTY TABLECLOTH	231	69	2352.15
21056	DOCTOR'S BAG SOFT TOY	258	66	2351.98
82600	N0 SINGING METAL SIGN	1115	19	2351.58
22075	6 RIBBONS ELEGANT CHRISTMAS	1599	105	2345.45
23234	BISCUIT TIN VINTAGE CHRISTMAS	857	87	2342.03
22747	POPPY'S PLAYHOUSE BATHROOM	1170	136	2334.00
21249	WOODLAND  HEIGHT CHART STICKERS	903	75	2333.85
21625	VINTAGE UNION JACK APRON	349	83	2332.09
23534	WALL ART STOP FOR TEA	448	66	2330.98
23168	CLASSIC CAFE SUGAR DISPENSER	2062	118	2330.91
84968C	S/16 VINTAGE PISTACHIO CUTLERY	203	22	2329.05
22127	PARTY CONES CARNIVAL ASSORTED	2106	50	2324.70
23163	REGENCY SUGAR TONGS	1029	67	2322.77
23299	FOOD COVER WITH BEADS SET 2	651	57	2322.67
23056	FLOWERS CHANDELIER T-LIGHT HOLDER	791	16	2320.91
23089	GLASS BON BON JAR	1477	62	2319.57
23110	PARISIENNE KEY CABINET	424	112	2318.00
20754	RETROSPOT RED WASHING UP GLOVES	1187	159	2315.58
21911	GARDEN METAL SIGN	1587	120	2311.35
84509A	SET OF 4 ENGLISH ROSE PLACEMATS	657	122	2305.79
22769	CHALKBOARD KITCHEN ORGANISER	126	12	2298.70
47580	TEA TIME DES TEA COSY	990	140	2296.51
23535	WALL ART BICYCLE SAFETY	455	52	2287.97
23346	SPACEBOY BEAKER	2016	71	2282.00
22312	OFFICE MUG WARMER POLKADOT	701	102	2281.39
21556	CERAMIC STRAWBERRY MONEY BOX	971	80	2278.05
23156	SET OF 5 MINI GROCERY MAGNETS	1141	103	2278.02
20675	BLUE SPOTTY BOWL	1952	149	2275.84
22299	PIG KEYRING WITH LIGHT & SOUND	2064	55	2273.76
21154	RED SPOTTY OVEN GLOVE	1894	147	2267.94
23494	VINTAGE DOILY DELUXE SEWING KIT	398	64	2267.10
85063	CREAM SWEETHEART MAGAZINE RACK	143	62	2265.85
21578	WOODLAND DESIGN  COTTON TOTE BAG	1015	117	2265.75
23345	DOLLY GIRL BEAKER	1999	69	2260.75
22571	ROCKING HORSE RED CHRISTMAS	2791	170	2260.03
22314	OFFICE MUG WARMER CHOC+BLUE	687	97	2255.59
23236	STORAGE TIN VINTAGE DOILY	802	79	2250.78
72807B	SET/3 OCEAN SCENT CANDLE JEWEL BOX	568	50	2250.32
22534	MAGIC DRAWING SLATE SPACEBOY	5692	159	2249.52
23111	PARISIENNE SEWING BOX	193	70	2244.50
22186	RED STAR CARD HOLDER	865	106	2242.39
22313	OFFICE MUG WARMER PINK	752	52	2242.04
22242	5 HOOK HANGER MAGIC TOADSTOOL	1475	54	2241.75
37495	FAIRY CAKE BIRTHDAY CANDLE SET	650	92	2235.90
23461	SWEETHEART BIRD HOUSE	666	13	2232.10
22136	LOVE HEART SOCK HANGER	1422	100	2231.10
22334	DINOSAUR PARTY BAG + STICKER SET	1451	111	2230.99
23050	RECYCLED ACAPULCO MAT GREEN	271	99	2228.55
21494	ROTATING LEAVES T-LIGHT HOLDER	1703	111	2227.38
22578	WOODEN STAR CHRISTMAS SCANDINAVIAN	4812	219	2224.40
22441	GROW YOUR OWN BASIL IN ENAMEL MUG	1072	140	2217.20
84832	ZINC WILLIE WINKIE  CANDLE STICK	2741	162	2215.97
23426	METAL SIGN DROP YOUR PANTS	894	83	2215.74
23310	BUBBLEGUM RING ASSORTED	5409	80	2215.59
20966	SANDWICH BATH SPONGE	1800	114	2212.00
22962	JAM JAR WITH PINK LID	2845	134	2210.77
23569	TRADTIONAL ALPHABET STAMP SET	464	58	2210.40
23184	BULL DOG BOTTLE OPENER	461	87	2209.15
23092	LARGE ANTIQUE WHITE PHOTO FRAME	333	57	2208.66
21535	RETRO SPOT SMALL MILK JUG	928	116	2204.40
84950	ASSORTED COLOUR T-LIGHT HOLDER	3550	89	2199.62
22737	RIBBON REEL CHRISTMAS PRESENT	1330	145	2197.34
84467	ENGLISH ROSE DESIGN QUILTED THROW	153	16	2195.55
22611	VINTAGE UNION JACK SHOPPING BAG	474	86	2195.10
21211	SET OF 72 SKULL PAPER  DOILIES	1633	81	2195.05
22095	LADS ONLY TISSUE BOX	2076	56	2191.80
23497	CLASSIC CHROME BICYCLE BELL	1573	66	2187.05
22180	RETRO SPOT LAMP	232	61	2186.60
21728	METAL MEDINA LANTERN	256	13	2186.10
22967	SET 3 SONG BIRD PAPER EGGS ASSORTED	805	58	2180.35
79323GR	GREEN CHERRY LIGHTS	380	33	2180.20
22855	FINE WICKER HEART	1864	112	2179.52
21042	RED RETROSPOT APRON	405	85	2175.75
21539	RETRO SPOTS BUTTER DISH	477	71	2159.55
21363	HOME SMALL WOOD LETTERS	435	131	2153.25
22125	UNION JACK HOT WATER BOTTLE	379	78	2152.05
23263	SET OF 3 WOODEN HEART DECORATIONS	1583	144	2144.24
23112	PARISIENNE CURIO CABINET	297	100	2142.50
21832	CHOCOLATE CALCULATOR	1340	99	2142.48
21355	TOAST ITS - I LOVE YOU	1819	120	2141.75
72802A	ROSE SCENT CANDLE IN JEWELLED BOX	534	56	2141.70
21112	SWISS ROLL TOWEL, PINK  SPOTS	996	35	2139.00
22588	CARD HOLDER GINGHAM HEART	862	117	2137.12
22398	MAGNETS PACK OF 4 SWALLOWS	2353	166	2134.10
23236	DOILEY STORAGE TIN	797	71	2130.53
23081	GREEN METAL BOX ARMY SUPPLIES	271	46	2128.89
21509	COWBOYS AND INDIANS BIRTHDAY CARD	5430	269	2125.57
22119	PEACE WOODEN BLOCK LETTERS	361	106	2122.31
23283	DOORMAT VINTAGE LEAVES DESIGN	335	49	2122.25
21470	FLOWER VINE RAFFIA FOOD COVER	593	122	2119.68
84596B	SMALL DOLLY MIX DESIGN ORANGE BOWL	3294	256	2115.04
22272	FELTCRAFT DOLL MARIA	804	109	2114.06
21240	BLUE POLKADOT CUP	2717	148	2113.93
23167	SMALL CERAMIC TOP STORAGE JAR	2874	85	2109.58
20978	36 PENCILS TUBE SKULLS	1730	147	2104.74
84509F	SET OF 4 NEW ENGLAND PLACEMATS	2692	13	2103.00
23388	WOODLAND MINI BACKPACK	535	56	2100.25
23534	STOP FOR TEA WALL ART	436	22	2099.20
22426	ENAMEL WASH BOWL CREAM	624	127	2096.00
85184C	S/4 VALENTINE DECOUPAGE HEART BOX	1172	91	2092.50
21917	SET 12 KIDS  WHITE CHALK STICKS	5178	171	2086.50
22443	GROW YOUR OWN HERBS SET OF 3	276	81	2084.04
22778	GLASS CLOCHE SMALL	586	56	2081.74
84356	POMPOM CURTAIN	474	46	2076.30
84937	KASHMIR FOLKART TUMBLERS	987	38	2072.70
72802B	OCEAN SCENT CANDLE IN JEWELLED BOX	1055	58	2065.13
84849B	FAIRY SOAP SOAP HOLDER	1305	137	2064.33
22406	MONEY BOX KINGS CHOICE DESIGN	1624	62	2063.32
22721	SET OF 3 CAKE TINS SKETCHBOOK	469	111	2061.97
23308	SET OF 60 VINTAGE LEAF CAKE CASES	4081	149	2060.91
23169	CLASSIC GLASS COOKIE JAR	519	85	2057.85
22736	RIBBON REEL MAKING SNOWMEN	1257	120	2057.21
21913	VINTAGE SEASIDE JIGSAW PUZZLES	571	75	2043.55
22356	CHARLOTTE BAG PINK WITH WHITE SPOTS	2587	134	2042.95
22065	CHRISTMAS PUDDING TRINKET POT	3052	116	2042.04
22980	PANTRY SCRUBBING BRUSH	1301	103	2041.29
21407	BROWN CHECK CAT DOORSTOP	507	121	2039.00
21354	TOAST ITS - BEST MUM	1794	88	2038.50
35832	WOOLLY HAT SOCK GLOVE ADVENT STRING	690	67	2036.70
21787	RAIN PONCHO WITH RED SPOTS	2919	45	2034.75
23189	SET OF 12 FORK CANDLES	756	52	2031.24
23294	SET OF 6 SNACK LOAF BAKING CASES	2639	113	2030.43
85041	SET/4 PINK ORCHID CANDLES IN BOWL	1595	28	2029.83
21713	CITRONELLA CANDLE FLOWERPOT	1338	100	2027.55
22366	DOOR MAT AIRMAIL	293	62	2021.29
22059	CERAMIC STRWBERRY DESIGN MUG	1509	73	2020.89
21110	LARGE CAKE TOWEL PINK SPOTS	568	54	2019.60
22801	ANTIQUE GLASS PEDESTAL BOWL	561	78	2018.40
23103	JINGLE BELL HEART DECORATION	1231	103	2016.75
84279P	CHERRY BLOSSOM  DECORATIVE FLASK	566	98	2011.62
23144	ZINC T-LIGHT HOLDER STARS SMALL	2569	105	2005.67
21796	SET OF 3 RED STRIPE BASKETS	263	25	2004.44
84968B	S/16 VINTAGE IVORY CUTLERY	160	35	1996.80
23230	WRAP ALPHABET DESIGN	5025	127	1994.50
22775	PURPLE DRAWERKNOB ACRYLIC EDWARDIAN	1672	96	1993.81
23542	WALL ART 70'S ALPHABET	283	31	1993.23
22156	HEART DECORATION WITH PEARLS	2392	139	1990.17
22575	METAL MERRY CHRISTMAS WREATH	1086	86	1988.10
84558A	3D DOG PICTURE PLAYING CARDS	710	68	1979.30
90057	DIAMANTE RING ASSORTED IN BOX.	1416	18	1975.44
84909A	PINK PAISLEY QUILT	147	15	1973.85
21845	DAIRY MAID STRIPE MUG	1546	80	1973.74
85132B	CHARLIE AND LOLA TABLE TINS	696	57	1973.20
84598	BOYS ALPHABET IRON ON PATCHES	10753	18	1970.13
85053	FRENCH ENAMEL CANDLEHOLDER	1017	126	1967.85
22704	WRAP RED APPLES	4875	146	1967.50
37447	CERAMIC CAKE DESIGN SPOTTED PLATE	1391	125	1960.03
22278	OVERNIGHT BAG VINTAGE ROSE PAISLEY	407	96	1958.65
22197	POPCORN HOLDER , SMALL	2615	39	1957.55
22595	CHRISTMAS GINGHAM HEART	2478	97	1956.54
22826	LOVE SEAT ANTIQUE WHITE METAL	17	13	1955.00
22475	SKULL DESIGN TV DINNER TRAY	455	93	1954.85
21206	STRAWBERRY HONEYCOMB  GARLAND	1491	117	1951.35
23032	DRAWER KNOB CRACKLE GLAZE IVORY	1215	88	1947.15
23239	SET OF 4 KNICK KNACK TINS POPPIES	507	78	1946.65
23535	BICYCLE SAFTEY WALL ART	384	25	1946.04
22712	CARD DOLLY GIRL	5007	182	1936.89
37340	MULTICOLOUR SPRING FLOWER MUG	11723	37	1927.95
22902	TOTE BAG I LOVE LONDON	1054	58	1923.94
21239	PINK  SPOTTY CUP	2395	189	1923.43
84968E	S/16 VINTAGE BLACK CUTLERY	171	13	1921.05
22906	12 MESSAGE CARDS WITH ENVELOPES	1236	85	1919.40
20977	36 PENCILS TUBE WOODLAND	1554	142	1915.14
22774	RED DRAWER KNOB ACRYLIC EDWARDIAN	1677	76	1911.21
22202	MILK PAN PINK RETROSPOT	531	74	1910.61
22723	SET OF 6 HERB TINS SKETCHBOOK	529	114	1904.59
21948	SET OF 6 CAKE CHOPSTICKS	1675	66	1904.56
22544	MINI JIGSAW SPACEBOY	4949	101	1904.52
22222	CAKE PLATE LOVEBIRD WHITE	528	126	1904.40
22309	TEA COSY RED  STRIPE	805	101	1902.48
22757	LARGE RED BABUSHKA NOTEBOOK	1770	119	1894.77
22130	PARTY CONE CHRISTMAS DECORATION	2324	102	1892.72
23164	REGENCY CAKE SLICE	425	45	1891.16
22459	CAST IRON HOOK GARDEN TROWEL	836	51	1889.96
85049C	ROMANTIC PINKS RIBBONS	1528	196	1881.57
23397	FOOT STOOL HOME SWEET HOME	211	57	1879.85
22963	JAM JAR WITH GREEN LID	2421	117	1877.67
22355	CHARLOTTE BAG , SUKI DESIGN	2369	126	1877.15
84975	HEART SHAPED MIRROR	1223	61	1875.35
23191	BUNDLE OF 3 RETRO NOTE BOOKS	1179	104	1875.35
21474	SWEETHEART CREAM STEEL FOLDIN BENCH	94	42	1875.30
22118	JOY WOODEN BLOCK LETTERS	392	83	1874.28
22374	AIRLINE BAG VINTAGE JET SET RED	386	133	1872.84
84912A	PINK ROSE WASHBAG	779	54	1871.25
22667	RECIPE BOX RETRO SPOT DESIGN	675	97	1866.45
22851	SET 20 NAPKINS FAIRY CAKES DESIGN	2414	182	1866.32
46000S	POLYESTER FILLER PAD 40x40cm	1287	151	1866.15
46000M	POLYESTER FILLER PAD 45x45cm	1201	163	1861.55
85162B	BLACK RETRODISC LAMPSHADE	953	12	1858.35
10135	COLOURING PENCILS BROWN TUBE	1808	93	1857.39
21898	POTTING SHED ROSE CANDLE	593	31	1857.23
23242	TREASURE TIN BUFFALO BILL	934	85	1854.40
21519	GIN & TONIC DIET GREETING CARD	4561	261	1850.10
23129	HEART SHAPED HOLLY WREATH	439	56	1845.73
22990	COTTON APRON PANTRY DESIGN	419	77	1845.69
21179	NO JUNK MAIL METAL SIGN	2486	170	1842.92
23536	VILLAGE SHOW WALL ART	346	10	1841.62
21534	DAIRY MAID LARGE MILK JUG	390	124	1840.20
23253	16 PIECE CUTLERY SET PANTRY DESIGN	136	19	1838.00
21499	BLUE POLKADOT WRAP	4700	113	1836.00
20681	PINK SPOTTY CHILDS UMBRELLA	592	92	1831.00
22365	DOOR MAT RESPECTABLE HOUSE	269	54	1830.13
21709	FOLDING UMBRELLA  CHOC/WHITE  SPOT	469	22	1823.55
22070	SMALL RED RETROSPOT MUG IN BOX	809	63	1816.60
22080	RIBBON REEL SPOTS DESIGN	1130	92	1814.50
22782	SET 3 WICKER STORAGE BASKETS	150	31	1813.50
23681	LUNCH BAG RED VINTAGE DOILY	1156	66	1807.40
23290	SPACEBOY CHILDRENS BOWL	1584	81	1807.20
23009	I LOVE LONDON BABY GIFT SET	117	26	1799.15
22972	CHILDREN'S SPACEBOY MUG	1107	97	1797.11
21364	PEACE SMALL WOOD LETTERS	256	44	1796.40
21588	RETRO SPOT GIANT  TUBE MATCHES	792	40	1795.50
22965	3 TRADITIONAl BISCUIT CUTTERS  SET	874	96	1794.02
21171	BATHROOM METAL SIGN	1348	120	1791.40
21466	RED FLOWER CROCHET FOOD COVER	485	114	1790.39
21897	POTTING SHED CANDLE CITRONELLA	586	29	1788.82
22593	CHRISTMAS GINGHAM STAR	2153	115	1787.93
22445	PENCIL CASE LIFE IS BEAUTIFUL	621	93	1786.15
23051	RECYCLED ACAPULCO MAT BLUE	219	80	1784.35
22318	FIVE HEART HANGING DECORATION	614	110	1782.50
21507	ELEPHANT, BIRTHDAY CARD,	4490	218	1774.92
22494	EMERGENCY FIRST AID TIN	1398	158	1774.12
21214	SET OF 72 IVORY PAPER DOILIES	1327	64	1770.55
21472	LADYBIRD + BEE RAFFIA FOOD COVER	482	105	1769.10
21500	PINK SPOTS  WRAP	4550	114	1769.00
22955	36 FOIL STAR CAKE CASES	910	76	1768.56
23498	CLASSIC BICYCLE CLIPS	1288	40	1766.60
23012	GLASS APOTHECARY BOTTLE PERFUME	484	74	1766.14
22320	BIRDS MOBILE VINTAGE DESIGN	305	67	1766.11
85232D	SET/3 DECOUPAGE STACKING TINS	380	85	1763.40
71038	WHITE HANGING BEADS CANDLE HOLDER	345	46	1761.85
23182	TOILET SIGN OCCUPIED OR VACANT	2117	153	1761.06
22146	EASTER CRAFT IVY WREATH WITH CHICK	1038	41	1760.10
84912B	GREEN ROSE WASHBAG	749	39	1758.75
21584	RETRO SPOT SMALL TUBE MATCHES	1141	46	1757.85
22797	CHEST OF DRAWERS GINGHAM HEART	106	42	1757.04
22536	MAGIC DRAWING SLATE PURDEY	4647	111	1756.14
23526	DOG LICENCE WALL ART	352	17	1755.64
84519A	TOMATO CHARLIE+LOLA COASTER SET	765	80	1752.79
22811	SET OF 6 T-LIGHTS CACTI	677	21	1752.73
21667	GLASS CAKE COVER AND PLATE	110	44	1752.50
72349B	SET/6 PURPLE BUTTERFLY T-LIGHTS	923	99	1751.34
84596F	SMALL MARSHMALLOWS PINK BOWL	2601	205	1751.15
21240	BLUE  SPOTTY CUP	2173	188	1747.21
22926	IVORY GIANT GARDEN THERMOMETER	305	77	1742.75
21873	IF YOU CAN'T STAND THE HEAT MUG	1508	82	1737.64
23390	DOLLY GIRL MINI BACKPACK	447	49	1735.05
21192	WHITE BELL HONEYCOMB PAPER	1155	45	1732.95
21899	KEY FOB , GARAGE DESIGN	2791	176	1730.63
22949	36 DOILIES DOLLY GIRL	1272	47	1729.20
22478	BIRDHOUSE GARDEN MARKER	1250	66	1728.10
22461	SAVOY ART DECO CLOCK	220	59	1723.80
23526	WALL ART DOG LICENCE	383	25	1723.73
21500	PINK POLKADOT WRAP	4375	116	1723.50
22974	CHILDRENS DOLLY GIRL MUG	1077	89	1722.09
21717	EASTER TIN BUCKET	736	63	1722.00
21323	HANGING MEDINA LANTERN LARGE	588	24	1720.25
21239	PINK  POLKADOT CUP	2182	147	1718.20
48189	DOOR MAT FRIENDSHIP	259	68	1714.87
22903	CALENDAR FAMILY FAVOURITES	628	32	1710.88
21993	FLORAL FOLK STATIONERY SET	1083	97	1709.80
21587	COSY HOUR GIANT TUBE MATCHES	687	77	1708.65
23035	DRAWER KNOB CERAMIC IVORY	1238	75	1707.74
21100	CHARLIE AND LOLA CHARLOTTE BAG	1434	80	1705.50
22754	SMALL RED BABUSHKA NOTEBOOK	2418	197	1703.64
21091	SET/6 WOODLAND PAPER PLATES	13534	19	1703.26
21085	SET/6 WOODLAND PAPER CUPS	13496	34	1702.72
20886	BOX OF 9 PEBBLE CANDLES	926	104	1701.00
22651	GENTLEMAN SHIRT REPAIR KIT	2148	75	1697.88
21901	KEY FOB , BACK DOOR	2611	253	1696.47
16161U	WRAP SUKI AND FRIENDS	4226	118	1692.92
23351	ROLL WRAP 50'S CHRISTMAS	1439	98	1692.91
23046	PAPER LANTERN 9 POINT DELUXE STAR	287	12	1692.55
21272	SALLE DE BAIN HOOK	1370	112	1691.86
22477	WATERING CAN GARDEN MARKER	1218	58	1686.20
47505	MINATURE COLOURED GARDENING SET	370	72	1686.20
21467	CHERRY CROCHET FOOD COVER	583	97	1683.67
47570	ENGLISH ROSE TABLE CLOTH	168	43	1681.20
84849D	HOT BATHS SOAP HOLDER	1041	135	1678.65
21041	RED RETROSPOT OVEN GLOVE DOUBLE	585	99	1677.75
22519	CHILDS GARDEN BRUSH PINK	902	86	1677.18
23342	MINT DINER WALL CLOCK	202	68	1676.20
22194	BLACK DINER WALL CLOCK	204	77	1671.95
40018F	CHERRY DESIGN PAPERLANTERNS	895	50	1670.89
21706	FOLDING UMBRELLA , RED/WHITE SPOT	468	54	1668.60
21590	KINGS CHOICE CIGAR BOX MATCHES	1404	101	1668.36
22122	SET OF 2 FANCY FONT TEA TOWELS	587	59	1667.65
22574	HEART WOODEN CHRISTMAS DECORATION	1933	122	1667.23
21508	VINTAGE KID DOLLY CARD	4217	234	1664.47
22932	BAKING MOULD TOFFEE CUP CHOCOLATE	758	42	1660.20
22180	RETROSPOT LAMP	172	64	1659.20
22758	LARGE PURPLE BABUSHKA NOTEBOOK	1668	122	1658.10
23400	SHELF WITH 4 HOOKS HOME SWEET HOME	353	44	1653.61
22777	GLASS CLOCHE LARGE	209	32	1653.25
72807A	SET/3 ROSE CANDLE IN JEWELLED BOX	417	38	1649.93
22518	CHILDS GARDEN BRUSH BLUE	891	84	1648.08
22152	PLACE SETTING WHITE STAR	4116	100	1647.65
22743	MAKE YOUR OWN FLOWERPOWER CARD KIT	676	92	1646.44
21538	DAIRY MAID  PUDDING BOWL	1239	16	1646.25
22285	DECORATION HEN ON NEST, HANGING	1187	34	1645.95
22710	WRAP I LOVE LONDON	4304	84	1643.68
21743	STAR PORTABLE TABLE LIGHT	608	47	1640.00
23401	RUSTIC MIRROR WITH LACE HEART	360	29	1636.76
21864	UNION JACK FLAG PASSPORT COVER	859	117	1636.62
22591	CARDHOLDER GINGHAM CHRISTMAS TREE	591	63	1636.09
23406	HOME SWEET HOME KEY HOLDER	352	46	1636.04
22028	PENNY FARTHING BIRTHDAY CARD	4079	208	1632.61
22930	BAKING MOULD HEART MILK CHOCOLATE	686	73	1632.02
22315	200 RED + WHITE BENDY STRAWS	1374	135	1630.86
23412	HEART MIRROR ANTIQUE WHITE	265	34	1624.14
20967	GREY FLORAL FELTCRAFT SHOULDER BAG	447	98	1624.05
23543	KEEP CALM WALL ART	218	8	1624.02
23210	WHITE ROCKING HORSE HAND PAINTED	1395	59	1617.75
22037	ROBOT BIRTHDAY CARD	3918	253	1616.14
22548	HEADS AND TAILS SPORTING FUN	1479	120	1614.58
82578	KITCHEN METAL SIGN	3090	240	1613.80
22744	MAKE YOUR OWN MONSOON CARD KIT	698	86	1609.06
22807	SET OF 6 T-LIGHTS TOADSTOOLS	590	73	1607.44
23292	SPACEBOY CHILDRENS CUP	1361	78	1605.57
85162C	WHITE RETRODISC LAMPSHADE	823	37	1604.85
85183B	CHARLIE & LOLA WASTEPAPER BIN FLORA	1153	62	1604.75
47480	HANGING PHOTO CLIP ROPE LADDER	1022	50	1598.98
22944	CHRISTMAS METAL POSTCARD WITH BELLS	2070	34	1597.74
21902	KEY FOB , FRONT  DOOR	2571	179	1594.49
21469	POLKA DOT RAFFIA FOOD COVER	624	71	1593.71
23065	LARGE DECO JEWELLERY STAND	135	29	1590.30
22935	BAKING MOULD ROSE MILK CHOCOLATE	557	32	1587.25
23503	PLAYING CARDS KEEP CALM & CARRY ON	1272	118	1584.96
22179	SET 10 NIGHT OWL LIGHTS	248	58	1584.54
85035B	CHOCOLATE 3 WICK MORRIS BOX CANDLE	711	29	1583.87
22291	SPRING DEC , HANGING CHICK CREAM	1293	57	1579.65
22671	FRENCH LAUNDRY SIGN BLUE METAL	988	106	1579.16
84691	PACK 20 DOLLY PEGS	2059	108	1573.35
84352	SILVER CHRISTMAS TREE BAUBLE STAND	97	51	1572.15
21992	VINTAGE PAISLEY STATIONERY SET	933	93	1571.79
22933	BAKING MOULD EASTER EGG MILK CHOC	632	45	1571.60
21540	DAIRY MAID BUTTER DISH	1148	13	1567.00
23237	SET OF 4 KNICK KNACK TINS LEAF	396	46	1566.60
22107	PIZZA PLATE IN BOX	442	93	1565.61
22755	SMALL PURPLE BABUSHKA NOTEBOOK	2120	199	1565.53
22059	CERAMIC STRAWBERRY DESIGN MUG	1303	83	1565.51
22973	CHILDREN'S CIRCUS PARADE MUG	972	77	1561.48
85014C	BLUE/BROWN DOTS RUFFLED UMBRELLA	429	36	1561.35
23013	GLASS APOTHECARY BOTTLE TONIC	429	68	1560.89
18098C	PORCELAIN BUTTERFLY OIL BURNER	685	86	1559.95
21088	SET/6 FRUIT SALAD PAPER CUPS	15883	50	1559.53
22601	CHRISTMAS RETROSPOT ANGEL WOOD	1898	124	1557.14
22072	TEA CUP AND SAUCER RETRO SPOT	437	58	1555.23
22603	CHRISTMAS RETROSPOT TREE WOOD	1964	107	1552.40
22046	TEA PARTY  WRAPPING PAPER	3800	116	1548.00
22479	DAISY GARDEN MARKER	1107	54	1547.45
37501	TEA TIME TEA SET IN GIFT BOX	226	67	1546.70
22425	ENAMEL COLANDER CREAM	325	99	1546.56
23190	BUNDLE OF 3 SCHOOL EXERCISE BOOKS	984	81	1546.04
84279B	CHERRY BLOSSOM DECORATIVE FLASK	436	73	1545.72
20960	WATERMELON BATH SPONGE	1239	74	1544.95
22409	MONEY BOX BISCUITS DESIGN	1126	47	1542.02
